08.03.2016 07:52:23.562	133	139	149	133
08.03.2016 07:53:25.671	133	147	158	135
08.03.2016 08:02:01.921	137	147	158	135
08.03.2016 08:04:45.500	137	142	147	134
08.03.2016 08:05:41.140	137	149	158	137
08.03.2016 08:07:08.500	135	141	148	135
08.03.2016 08:07:57.187	135	149	159	137
08.03.2016 08:09:09.218	133	148	158	136
08.03.2016 08:11:09.281	131	143	156	134
08.03.2016 08:11:45.296	131	147	157	134
08.03.2016 08:11:57.296	131	146	155	134
08.03.2016 08:24:04.281	129	146	158	135
08.03.2016 08:31:04.484	131	147	159	136
08.03.2016 08:35:39.140	130	140	148	133
08.03.2016 08:37:07.328	129	146	158	135
08.03.2016 08:57:21.828	131	140	147	134
08.03.2016 08:58:02.328	130	147	158	136
08.03.2016 09:25:13.609	129	140	147	132
08.03.2016 09:28:21.468	132	147	160	136
08.03.2016 09:28:57.484	133	147	160	136
08.03.2016 09:36:26.859	129	146	158	134
08.03.2016 10:03:51.640	132	148	159	138
08.03.2016 10:12:15.890	131	140	148	134
08.03.2016 10:14:15.453	132	147	160	137
08.03.2016 10:14:59.031	133	147	159	137
08.03.2016 10:22:44.859	137	148	160	136
08.03.2016 10:27:36.281	138	150	159	138
08.03.2016 10:30:00.343	133	149	158	136
08.03.2016 10:31:48.390	131	148	157	134
08.03.2016 10:36:00.718	132	140	147	134
08.03.2016 10:36:56.750	132	147	158	137
08.03.2016 10:37:20.750	132	147	157	138
08.03.2016 10:44:49.171	130	147	159	134
08.03.2016 10:45:01.171	129	146	158	134
08.03.2016 10:53:01.406	132	148	160	138
08.03.2016 11:30:50.484	125	147	159	136
08.03.2016 11:31:02.484	130	147	159	136
08.03.2016 12:49:40.718	130	148	163	137
08.03.2016 12:50:00.515	130	139	148	133
08.03.2016 12:52:29.531	131	145	160	135
08.03.2016 12:55:17.609	134	147	160	136
08.03.2016 12:59:41.937	136	149	160	136
08.03.2016 13:08:34.234	132	148	158	137
08.03.2016 13:11:58.328	130	147	158	136
08.03.2016 13:23:34.281	129	140	147	132
08.03.2016 13:24:32.875	129	147	158	135
08.03.2016 13:27:03.781	131	146	159	136
08.03.2016 13:36:24.140	129	140	147	132
08.03.2016 13:37:34.718	130	136	146	132
08.03.2016 13:37:47.828	131	140	149	132
08.03.2016 13:44:51.687	126	137	145	129
08.03.2016 13:46:16.515	127	136	145	129
08.03.2016 13:46:44.531	127	145	157	133
08.03.2016 13:48:20.578	129	147	159	136
08.03.2016 13:48:32.593	130	147	158	136
08.03.2016 13:49:32.625	131	149	160	137
08.03.2016 13:49:44.625	131	147	161	137
08.03.2016 13:49:56.625	131	148	157	137
08.03.2016 13:56:13.437	128	145	158	134
08.03.2016 14:27:26.328	130	140	147	133
08.03.2016 14:28:18.656	129	139	148	132
08.03.2016 14:29:38.703	131	147	160	136
08.03.2016 14:32:50.796	134	146	160	135
08.03.2016 14:49:20.234	130	147	159	136
